country,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
250,08-01-2010,3.837860,0.548325,45.000000,0.675592,0.313638,2.150283,117447
250,08-01-2011,3.846814,0.559087,49.000000,0.874002,0.109434,2.825676,38542
250,09-01-2010,3.993928,0.558642,43.000000,0.732099,0.256835,2.201674,117600
250,09-01-2011,3.666001,0.593595,62.000000,0.850877,0.131240,2.400593,12729
250,10-01-2010,3.410694,0.544238,45.000000,0.808409,0.179463,2.241879,115666
250,11-01-2010,3.360825,0.528579,45.000000,0.834263,0.152517,2.274973,125186
250,12-01-2010,3.612497,0.545518,47.000000,0.823602,0.162710,2.396550,108670
276,01-01-2010,5.009098,0.444136,46.000000,0.258955,0.733702,2.304556,7253
276,01-01-2011,5.282473,0.509941,37.000000,0.299698,0.690213,2.611658,59151
276,02-01-2010,4.811574,0.444030,52.000000,0.251636,0.738225,2.437871,22064
276,02-01-2011,5.315242,0.514643,36.000000,0.324342,0.664586,2.638808,50227
276,03-01-2010,5.277810,0.461410,36.000000,0.126723,0.866510,2.433658,43552
276,03-01-2011,5.473939,0.518253,35.000000,0.320254,0.668471,2.734191,48429
276,04-01-2010,5.353988,0.469048,34.000000,0.114547,0.878648,2.562104,61367
276,05-01-2010,5.347587,0.466277,33.000000,0.119351,0.873884,2.607710,64157
276,06-01-2010,5.370327,0.478931,33.000000,0.119853,0.873305,2.701325,51062
276,07-01-2010,5.394396,0.482831,35.000000,0.126441,0.867044,2.603256,46777
276,07-01-2011,5.649561,0.556906,35.000000,0.376295,0.612707,2.850226,40598
276,08-01-2010,5.059148,0.469582,37.000000,0.193014,0.798589,2.379950,65249
276,08-01-2011,5.750487,0.570130,34.000000,0.349349,0.640822,2.928166,36551
276,09-01-2010,4.986615,0.474261,36.000000,0.245236,0.744959,2.431295,65585
276,09-01-2011,5.802100,0.617190,34.000000,0.362197,0.626118,2.973370,31595
276,10-01-2010,5.084812,0.494394,35.000000,0.222664,0.769046,2.411874,62708
276,11-01-2010,5.171638,0.499402,36.000000,0.245980,0.745651,2.432711,61494
276,12-01-2010,5.265616,0.504761,37.000000,0.274152,0.716111,2.545288,59283
300,01-01-2010,2.508797,0.321900,86.000000,0.452091,0.535549,1.647479,1277
300,01-01-2011,3.545981,0.522992,30.000000,0.400371,0.592718,1.717765,41454
300,02-01-2010,3.075372,0.272660,77.000000,0.392598,0.597268,1.531672,16720
300,02-01-2011,3.804880,0.531605,30.000000,0.365781,0.627132,1.861705,31467
300,03-01-2010,4.853576,0.308280,31.000000,0.308896,0.683633,1.810139,23003
300,03-01-2011,4.056057,0.534252,30.000000,0.332153,0.660337,1.957490,32346
300,04-01-2010,5.480320,0.351710,28.000000,0.302989,0.690337,2.169589,38836
300,05-01-2010,5.813794,0.512427,28.000000,0.327409,0.666471,2.215725,50383
300,06-01-2010,5.790496,0.522252,28.000000,0.268595,0.723534,2.367651,39251
300,07-01-2010,5.681144,0.516435,28.000000,0.192884,0.800283,2.311736,29864
300,07-01-2011,4.894515,0.522392,31.000000,0.225248,0.767249,2.141607,20558
300,08-01-2010,5.100918,0.511784,29.000000,0.220723,0.771130,1.796709,25567
300,08-01-2011,5.114007,0.523110,29.000000,0.206327,0.786184,2.244352,22029
300,09-01-2010,5.114248,0.522683,29.000000,0.287149,0.705679,1.736941,34435
300,09-01-2011,5.243567,0.538368,29.000000,0.302340,0.691215,2.273697,25150
300,10-01-2010,5.006560,0.522711,29.000000,0.227756,0.765250,1.729825,36419
300,11-01-2010,4.747227,0.522783,30.000000,0.242957,0.749944,1.781751,32620
300,12-01-2010,4.092459,0.523056,30.000000,0.335893,0.657464,1.761071,37699
348,01-01-2010,4.086004,0.560849,43.000000,0.256410,0.738454,1.636386,6489
348,01-01-2011,4.245391,0.624372,44.000000,0.167579,0.825006,1.273964,71325
348,02-01-2010,3.512085,0.456094,51.000000,0.353009,0.639835,1.491252,12029
348,02-01-2011,4.105807,0.654721,42.000000,0.173566,0.818961,1.300352,59625
348,03-01-2010,4.013744,0.462228,43.000000,0.193010,0.799312,1.521680,27730
348,03-01-2011,4.790976,0.683726,42.000000,0.146639,0.846396,1.426377,57999
