region,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
124_nb,03-01-2010,3.295132,0.384321,58.000000,0.098612,0.894702,2.302372,2025
124_nb,03-01-2011,3.486360,0.332219,63.000000,0.641391,0.348440,2.162700,1475
124_nb,04-01-2010,3.330857,0.390565,60.000000,0.088947,0.904394,2.262271,1460
124_nb,05-01-2010,3.254143,0.364726,59.000000,0.089660,0.903177,2.355439,1136
124_nb,06-01-2010,3.036812,0.366562,59.000000,0.087832,0.905473,2.412008,1022
124_nb,07-01-2010,2.923920,0.368768,59.000000,0.088533,0.905969,2.270228,831
124_nb,07-01-2011,2.967778,0.322770,81.000000,0.771935,0.212815,2.402957,1462
124_nb,08-01-2010,2.509931,0.390096,60.000000,0.115968,0.877246,1.779206,1644
124_nb,08-01-2011,2.869378,0.319669,72.000000,0.799792,0.182108,2.438813,1698
124_nb,09-01-2010,2.774830,0.310378,61.000000,0.154404,0.838594,1.961097,1857
124_nb,09-01-2011,3.652085,0.353206,67.000000,0.538041,0.443399,2.314562,1377
124_nb,10-01-2010,2.924372,0.238127,61.000000,0.134484,0.858794,1.892300,1666
124_nb,11-01-2010,3.398364,0.276313,61.000000,0.231824,0.760042,1.860017,1762
124_nb,12-01-2010,4.133292,0.303699,61.000000,0.413071,0.574756,2.292492,2014
124_nf,01-01-2010,,0.398325,,,,,
124_nf,01-01-2011,3.042402,0.377097,68.000000,0.565443,0.415615,2.183086,1334
124_nf,02-01-2010,3.049560,0.399214,69.000000,0.162296,0.828961,2.490244,975
124_nf,02-01-2011,3.367987,0.386196,67.000000,0.687616,0.294063,2.258621,970
124_nf,03-01-2010,3.845617,0.408229,73.000000,0.149317,0.843319,2.576819,1357
124_nf,03-01-2011,2.888298,0.379389,67.000000,0.748641,0.236946,2.169865,956
124_nf,04-01-2010,4.121335,0.409276,71.000000,0.113561,0.879971,2.456681,1013
124_nf,05-01-2010,4.113624,0.408596,70.000000,0.108127,0.886343,2.539887,872
124_nf,06-01-2010,4.070260,0.406873,72.000000,0.106959,0.887304,2.599792,657
124_nf,07-01-2010,3.402613,0.409551,70.000000,0.103570,0.890523,2.421725,500
124_nf,07-01-2011,2.755428,0.394059,71.000000,0.840990,0.138613,2.590139,893
